Crash Date,Crash Time,X,Y,City/Town,Crash Severity,Maximum Injury Severity Reported,Crash Number,Most Harmful Events,Non Motorist Type
10/11/05,4:33 PM,179756.7371,921872.2565,LEOMINSTER,Non-fatal injury,Non-fatal injury - Incapacitating,1943533,V1:(Collision with pedestrian),P3:Pedestrian
5/30/05,10:50 AM,,,GRAFTON,Non-fatal injury,Non-fatal injury - Non-incapacitating,1943587,V1:(Collision with pedestrian),P2:Pedestrian
10/11/05,7:24 PM,206953.7289,914616.3522,ACTON,Non-fatal injury,Non-fatal injury - Possible,1943652,V1:(Collision with pedestrian),P2:Pedestrian
10/14/05,9:20 PM,214519.2345,930627.3124,LOWELL,Non-fatal injury,Non-fatal injury - Non-incapacitating,1943716,V1:(Collision with motor vehicle in traffic),P3:Pedestrian
10/12/05,5:14 PM,221681.1977,844952.177,REHOBOTH,Non-fatal injury,Non-fatal injury - Non-incapacitating,1943821,V1:(Collision with pedestrian),P2:Pedestrian
10/5/05,3:00 PM,233053.1022,946547.6449,HAVERHILL,Non-fatal injury,Non-fatal injury - Possible,1944019,V1:(Collision with motor vehicle in traffic),P2:Pedestrian
9/12/05,9:11 AM,233921.8124,901427.125,CAMBRIDGE,Non-fatal injury,Non-fatal injury - Incapacitating,1944059,V1:(Collision with pedestrian),P2:Pedestrian
9/19/05,7:50 PM,231727.0154,901615.2502,CAMBRIDGE,Non-fatal injury,Non-fatal injury - Possible,1944242,V1:(Collision with pedestrian),P2:Pedestrian
9/13/05,3:10 PM,221092.4902,902892.7004,WALTHAM,Non-fatal injury,Non-fatal injury - Possible,1944474,V1:(Collision with pedestrian),P2:Pedestrian
9/13/05,9:54 AM,219399.4046,905005.5711,WALTHAM,Non-fatal injury,Non-fatal injury - Non-incapacitating,1944478,V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic) V3:(),P2:Pedestrian
7/19/05,9:30 PM,202717.9223,890378.8619,ASHLAND,Fatal injury,Fatal injury,1944530,V1:(Collision with pedestrian),P2:Pedestrian
9/28/05,3:19 PM,232578.5121,901783.0564,CAMBRIDGE,Not Reported,Not reported,1944590,V1:(),P2:Pedestrian
9/27/05,6:18 PM,230189.0155,904012.9999,CAMBRIDGE,Non-fatal injury,Non-fatal injury - Non-incapacitating,1944617,V1:(Collision with pedestrian),P2:Pedestrian
8/23/05,5:54 PM,105629.7209,884190.4114,HOLYOKE,Non-fatal injury,Non-fatal injury - Incapacitating,1944619,V1:(Collision with pedestrian),P2:Pedestrian
9/1/05,7:00 AM,107121.4526,883965.3901,HOLYOKE,Non-fatal injury,Non-fatal injury - Incapacitating,1944723,V1:(Collision with pedestrian),P2:Pedestrian
10/13/05,5:10 PM,228027.4991,940113.2042,LAWRENCE,Property damage only (none injured),No injury,1944740,V1:(Collision with pedestrian),P2:Pedestrian
9/27/05,3:45 PM,231752.9221,902775.0623,CAMBRIDGE,Property damage only (none injured),No injury,1944771,V1:(Collision with pedestrian),P2:Pedestrian
10/8/05,11:10 AM,170015.1095,874115.125,OXFORD,Non-fatal injury,Non-fatal injury - Possible,1944829,V1:(Collision with pedestrian),P2:Pedestrian
10/15/05,6:28 PM,247491.0312,919392.5623,PEABODY,Non-fatal injury,Non-fatal injury - Non-incapacitating,1944901,V1:(Collision with pedestrian),P3:Pedestrian
10/5/05,12:35 PM,159255.8387,925169.3188,GARDNER,Not Reported,Not reported,1944918,V1:(),P2:Pedestrian
10/21/05,6:17 AM,234133.0938,894520.0002,BOSTON,Not Reported,Not Applicable,1945213,V1:(),P2:Pedestrian
9/22/05,1:50 PM,236011.5159,901059.4373,BOSTON,Non-fatal injury,Non-fatal injury - Non-incapacitating,1945240,V1:(Collision with pedestrian),P2:Pedestrian
9/6/05,2:09 PM,211756.3125,936820.0625,DRACUT,Non-fatal injury,Non-fatal injury - Possible,1945303,V1:(Collision with pedestrian),P2:Pedestrian
7/17/05,3:00 AM,234564.2967,895796.7501,BOSTON,Fatal injury,Fatal injury,1945417,V1:(Collision with pedestrian),P2:Pedestrian
5/26/05,7:50 PM,227591.703,891865.7502,BOSTON,Property damage only (none injured),No injury,1945578,V1:(),P2:Pedestrian
10/6/05,3:00 PM,231706.9415,899315.0801,BROOKLINE,Property damage only (none injured),No injury,1945629,V1:(Collision with pedestrian),P2:Pedestrian
10/14/05,2:30 PM,230526.7148,899845.6152,BROOKLINE,Non-fatal injury,Non-fatal injury - Non-incapacitating,1945638,V1:(Collision with pedestrian),P2:Pedestrian
10/15/05,4:13 PM,224445.3618,902426.6818,WATERTOWN,Non-fatal injury,Non-fatal injury - Non-incapacitating,1945740,V1:(Collision with pedestrian),P2:Pedestrian
10/22/05,12:00 AM,239736.1095,871973.5001,BROCKTON,Non-fatal injury,Non-fatal injury - Incapacitating,1945798,V1:(Collision with pedestrian),P2:Pedestrian
10/13/05,2:56 PM,233006.4061,946513.375,HAVERHILL,Property damage only (none injured),No injury,1945883,V1:(Collision with pedestrian),P2:Pedestrian
10/21/05,6:53 AM,238742.8439,871251.1249,BROCKTON,Non-fatal injury,Non-fatal injury - Possible,1945971,V1:(Collision with pedestrian),P2:Pedestrian
10/4/05,4:25 PM,219369.3821,854268.1886,ATTLEBORO,Property damage only (none injured),No injury,1946021,V1:(Collision with pedestrian),P2:Pedestrian
10/12/05,5:53 AM,224925.1091,943133.1531,METHUEN,Property damage only (none injured),No injury,1946062,V1:(Collision with pedestrian),P2:Pedestrian
10/8/05,7:06 PM,233453.683,849790.4169,TAUNTON,Not Reported,Not reported,1946138,V1:(Collision with motor vehicle in traffic),P2:Pedestrian
10/12/05,7:10 PM,214109.2296,933778.7815,LOWELL,Non-fatal injury,Non-fatal injury - Non-incapacitating,1946194,V1:(Collision with pedestrian),P3:Pedestrian
10/12/05,6:00 PM,230746.3968,898987.0406,BROOKLINE,Non-fatal injury,Non-fatal injury - Possible,1946195,V1:(),P2:Pedestrian
10/21/05,7:00 PM,239240.9671,891621.3711,QUINCY,Non-fatal injury,Non-fatal injury - Non-incapacitating,1946777,V1:(),P2:Pedestrian
10/19/05,6:40 PM,206373.1145,901128.8487,SUDBURY,Non-fatal injury,Non-fatal injury - Possible,1946890,V1:(Collision with pedestrian),P2:Pedestrian
10/11/05,11:50 AM,247689.8749,820584.0002,NEW BEDFORD,Non-fatal injury,Non-fatal injury - Possible,1946904,V1:(Collision with pedestrian),P2:Pedestrian
10/14/05,6:39 PM,240463.2535,887647.3223,QUINCY,Non-fatal injury,Non-fatal injury - Non-incapacitating,1946918,V1:(Collision with pedestrian),P3:Pedestrian / P4:Pedestrian
10/13/05,4:00 AM,240842.6987,888257.099,QUINCY,Non-fatal injury,Non-fatal injury - Possible,1946956,V1:(),P2:Pedestrian
10/25/05,6:01 PM,235580.6249,911306.9376,MELROSE,Non-fatal injury,Non-fatal injury - Non-incapacitating,1946971,V1:(Collision with pedestrian),P2:Pedestrian
8/20/05,7:33 AM,,,QUINCY,Unknown,Not reported,1946987,V1:(),P2:Pedestrian
10/13/05,5:18 PM,247832.5468,823228.6875,NEW BEDFORD,Non-fatal injury,Non-fatal injury - Possible,1947015,V1:(Collision with pedestrian),P2:Pedestrian
5/24/05,7:45 PM,235961.7187,893031.6249,BOSTON,Property damage only (none injured),No injury,1947052,V1:(),P2:Pedestrian
10/14/05,7:01 PM,96388.7563,875779.3031,WESTFIELD,Non-fatal injury,Non-fatal injury - Possible,1947115,V1:(Collision with pedestrian),P2:Pedestrian
10/21/05,1:48 AM,243670.6233,860490.8278,BRIDGEWATER,Fatal injury,Fatal injury,1947141,V1:(Collision with pedestrian),P2:Pedestrian / P3:Pedestrian / P4:Pedestrian
10/20/05,8:18 PM,205386.9641,919083.7121,ACTON,Non-fatal injury,Non-fatal injury - Non-incapacitating,1947147,V1:(Collision with pedestrian),P2:Pedestrian
10/18/05,7:51 AM,,,SALEM,Property damage only (none injured),No injury,1947226,V1:(Collision with pedestrian),P2:Pedestrian
10/5/05,9:57 AM,241238.8298,889282.1585,QUINCY,Non-fatal injury,Non-fatal injury - Possible,1947261,V1:(Collision with mail box),P2:Pedestrian / P3:Pedestrian
10/14/05,12:15 PM,249326.7466,915352.6059,SALEM,Non-fatal injury,Non-fatal injury - Non-incapacitating,1947313,V1:(Collision with pedestrian),P2:Pedestrian
10/8/05,4:23 PM,248357.175,920177.1175,SALEM,Property damage only (none injured),No injury,1947416,V1:(Collision with pedestrian),P2:Pedestrian
9/14/05,4:30 AM,214958.6237,932297.3294,LOWELL,Not Reported,Not reported,1947514,V1:(),P2:Pedestrian
9/9/05,9:25 AM,,,FRAMINGHAM,Property damage only (none injured),No injury,1947596,V1:(Collision with pedestrian),P2:Pedestrian
9/24/05,5:39 PM,239418.9358,891765.2503,QUINCY,Non-fatal injury,Non-fatal injury - Possible,1947602,V1:(Collision with pedestrian),P2:Pedestrian
10/3/05,5:04 PM,247562.3164,824534.9197,NEW BEDFORD,Non-fatal injury,Non-fatal injury - Non-incapacitating,1947605,V1:(Collision with pedestrian),P2:Pedestrian
10/4/05,1:05 PM,247968.9301,823547.8078,NEW BEDFORD,Non-fatal injury,Non-fatal injury - Non-incapacitating,1947623,V1:(Collision with pedestrian),P2:Pedestrian
10/8/05,11:50 PM,246323.7033,822705.7502,NEW BEDFORD,Non-fatal injury,Non-fatal injury - Incapacitating,1947654,V1:(Collision with pedestrian),P2:Pedestrian / P3:Pedestrian
6/1/05,8:20 AM,227447.7336,891748.4481,BOSTON,Non-fatal injury,Non-fatal injury - Non-incapacitating,1947807,V1:() V2:(),P6:Pedestrian
9/28/05,7:01 PM,,,STURBRIDGE,Non-fatal injury,Non-fatal injury - Incapacitating,1947809,V1:(Collision with pedestrian),P4:Pedestrian
10/25/05,7:15 PM,215684.8752,932292.875,LOWELL,Property damage only (none injured),No injury,1947831,V1:(Collision with pedestrian),P2:Pedestrian
10/21/05,8:20 AM,227888.9687,939037.6251,LAWRENCE,Property damage only (none injured),No injury,1947841,V1:(Collision with pedestrian),P2:Pedestrian
10/25/05,8:45 AM,214183.2033,931444.9375,LOWELL,Non-fatal injury,Non-fatal injury - Incapacitating,1947847,V1:(Collision with pedestrian),P2:Pedestrian
10/21/05,5:15 PM,215111.7342,932114.8751,LOWELL,Property damage only (none injured),No injury,1947990,V1:(Collision with pedestrian),P5:Pedestrian
10/22/05,7:55 PM,214725.5469,932615.625,LOWELL,Non-fatal injury,Non-fatal injury - Non-incapacitating,1948037,V1:(Collision with pedestrian),P2:Pedestrian
10/22/05,6:50 PM,213366.8532,931999.4068,LOWELL,Non-fatal injury,Non-fatal injury - Incapacitating,1948084,V1:(Collision with pedestrian),P2:Pedestrian
10/14/05,11:00 PM,245028.0437,878581.2621,WEYMOUTH,Non-fatal injury,Non-fatal injury - Incapacitating,1948200,V1:(Collision with pedestrian),P2:Pedestrian
10/17/05,8:02 PM,245122.957,884016.828,WEYMOUTH,Non-fatal injury,Non-fatal injury - Possible,1948237,V1:(),P2:Pedestrian
10/20/05,6:24 PM,105403.6266,871155.2358,AGAWAM,Non-fatal injury,Non-fatal injury - Non-incapacitating,1948242,V1:(Collision with pedestrian),P2:Pedestrian
10/30/05,1:18 AM,222326.3488,938259.5336,METHUEN,Fatal injury,Fatal injury,1948244,V1:(Collision with pedestrian),P2:Pedestrian / P3:Pedestrian
10/20/05,6:52 PM,246073.5001,875436.3747,ABINGTON,Non-fatal injury,Non-fatal injury - Non-incapacitating,1948369,V1:(Collision with pedestrian),P2:Pedestrian
10/14/05,7:00 PM,226797.5015,940159.5868,LAWRENCE,Property damage only (none injured),No injury,1948404,V1:(Collision with pedestrian) V2:(Collision with motor vehicle in traffic),P4:Pedestrian
10/10/05,11:20 PM,228754.9369,908340.4583,ARLINGTON,Non-fatal injury,Non-fatal injury - Non-incapacitating,1948451,V1:(Collision with pedestrian),P2:Pedestrian
10/19/05,10:23 AM,,,LOWELL,Non-fatal injury,Non-fatal injury - Non-incapacitating,1948481,V1:(Collision with pedestrian),P2:Pedestrian
10/17/05,4:15 PM,215915.2701,931329.6341,LOWELL,Non-fatal injury,Non-fatal injury - Non-incapacitating,1948485,V1:(),P2:Pedestrian
5/20/05,8:00 PM,234864.1561,898534.6875,BOSTON,Non-fatal injury,Non-fatal injury - Possible,1948517,V1:() V2:(),P4:Pedestrian
10/18/05,5:40 PM,211830.7655,931587.125,LOWELL,Non-fatal injury,Non-fatal injury - Possible,1948594,V1:(Collision with pedestrian),P2:Pedestrian
10/22/05,12:00 AM,159851.5887,923494.5616,GARDNER,Non-fatal injury,Non-fatal injury - Incapacitating,1948835,V1:(Collision with parked motor vehicle) V2:(Collision with motor vehicle in traffic),P4:Pedestrian
10/29/05,3:13 PM,237465.6124,904810.3008,CHELSEA,Non-fatal injury,Non-fatal injury - Possible,1948909,V1:(Collision with pedestrian),P3:Pedestrian
10/25/05,2:39 PM,159093.7182,924975.5393,GARDNER,Non-fatal injury,Non-fatal injury - Non-incapacitating,1948925,V1:(Collision with pedestrian),P2:Pedestrian
10/16/05,11:27 PM,238340.5494,904787.2184,CHELSEA,Non-fatal injury,Non-fatal injury - Incapacitating,1948937,V1:(Collision with pedestrian),P2:Pedestrian
10/17/05,4:12 PM,238071.4373,904469.1249,CHELSEA,Non-fatal injury,Non-fatal injury - Non-incapacitating,1948942,V1:(Collision with pedestrian),P2:Pedestrian
10/23/05,6:30 PM,229701.1037,906622.737,ARLINGTON,Property damage only (none injured),No injury,1948949,V1:(Collision with pedestrian),P2:Pedestrian
10/14/05,7:02 PM,225864.6443,908288.0923,ARLINGTON,Non-fatal injury,Non-fatal injury - Possible,1948961,V1:(Collision with pedestrian),P2:Pedestrian
10/14/05,8:15 PM,238019.0469,904539.3124,CHELSEA,Property damage only (none injured),No injury,1949179,V1:(Collision with pedestrian),P2:Pedestrian
9/16/05,8:37 PM,221641.9556,902112.3855,WALTHAM,Non-fatal injury,Non-fatal injury - Possible,1949189,V1:(Collision with pedestrian),P3:Pedestrian
10/22/05,5:29 PM,238050.3439,905676.3123,CHELSEA,Non-fatal injury,Non-fatal injury - Possible,1949408,V1:(Collision with pedestrian),P2:Pedestrian
10/22/05,6:56 PM,232896.0706,875085.4008,STOUGHTON,Non-fatal injury,Non-fatal injury - Incapacitating,1949411,V1:(Collision with pedestrian),P3:Pedestrian
10/22/05,3:09 PM,245990.1624,912790.4786,LYNN,Non-fatal injury,Non-fatal injury - Possible,1949418,V1:(Collision with pedestrian),P2:Pedestrian
6/30/05,12:35 PM,,,PALMER,Non-fatal injury,Non-fatal injury - Possible,1949544,V1:(),P3:Pedestrian
10/28/05,1:00 PM,243091.9177,911564.3246,LYNN,Non-fatal injury,Non-fatal injury - Possible,1949690,V1:(Collision with pedestrian),P2:Pedestrian
10/27/05,11:00 AM,245802.6875,912911.3126,LYNN,Non-fatal injury,Non-fatal injury - Possible,1949753,V1:(Collision with pedestrian),P2:Pedestrian
10/10/05,7:20 PM,233974.1562,852719.3126,TAUNTON,Non-fatal injury,Non-fatal injury - Possible,1949851,V1:(Collision with pedestrian),P2:Pedestrian
11/1/05,4:30 PM,230923.6454,898101.2016,BROOKLINE,Non-fatal injury,Non-fatal injury - Non-incapacitating,1949949,V1:(Collision with pedestrian),P2:Pedestrian
10/23/05,2:24 PM,244029.3908,912673.0002,LYNN,Non-fatal injury,Non-fatal injury - Non-incapacitating,1950113,V1:(Collision with pedestrian),P2:Pedestrian
11/2/05,6:40 PM,229069.998,898129.9469,BROOKLINE,Non-fatal injury,Non-fatal injury - Non-incapacitating,1950248,V1:(Collision with pedestrian),P3:Pedestrian
9/13/05,7:45 AM,208249.2656,897196,FRAMINGHAM,Property damage only (none injured),No injury,1950376,V1:(Collision with pedestrian),P2:Pedestrian
11/2/05,4:49 PM,241211.0816,869792.3665,BROCKTON,Non-fatal injury,Non-fatal injury - Possible,1950411,V1:(Collision with pedestrian),P2:Pedestrian / P4:Pedestrian
9/16/05,10:25 AM,207361.625,892909.2498,FRAMINGHAM,Non-fatal injury,Non-fatal injury - Non-incapacitating,1950502,V1:(Collision with pedestrian),P2:Pedestrian
10/30/05,4:38 PM,228768.4393,913449.6263,WOBURN,Non-fatal injury,Non-fatal injury - Incapacitating,1950563,V1:(Collision with pedestrian),P2:Pedestrian
9/6/05,9:03 AM,,,NORTH ADAMS,Non-fatal injury,Non-fatal injury - Incapacitating,1950635,V1:(Collision with pedestrian),P2:Pedestrian
10/23/05,12:00 PM,249259.2343,917202.1251,SALEM,Property damage only (none injured),No injury,1950720,V1:(Collision with motor vehicle in traffic),P2:Pedestrian
10/1/05,1:25 PM,,,MIDDLEBOROUGH,Non-fatal injury,Non-fatal injury - Incapacitating,1950767,V1:(Collision with pedestrian),P2:Pedestrian
10/24/05,9:05 AM,228632.2969,914339.4373,WOBURN,Property damage only (none injured),No injury,1950774,V1:(Collision with pedestrian),P2:Pedestrian
10/29/05,11:53 AM,248533.7538,917662.9952,SALEM,Property damage only (none injured),No injury,1950826,V1:(Collision with pedestrian) V2:(Collision with motor vehicle in traffic),P3:Pedestrian
11/2/05,7:19 AM,218510.0526,924579.9264,BILLERICA,Not Reported,Not Applicable,1950878,V1:(Collision with pedestrian),P2:Pedestrian
10/13/05,3:28 PM,241695.4502,902618.5537,WINTHROP,Property damage only (none injured),No injury,1950956,V1:(Collision with pedestrian),P2:Pedestrian
10/20/05,4:46 PM,,,BURLINGTON,Not Reported,Not Applicable,1951140,V1:(Collision with pedestrian),P2:Pedestrian
8/11/05,9:25 PM,233616.0632,900671.6549,CAMBRIDGE,Fatal injury,Fatal injury,1951285,V1:(Collision with pedestrian) V2:(Collision with motor vehicle in traffic) V3:(Collision with motor vehicle in traffic) V4:(Collision with motor vehicle in traffic) V5:(Other),P6:Pedestrian
10/30/05,5:43 PM,211479.7751,930473.1693,CHELMSFORD,Non-fatal injury,Non-fatal injury - Possible,1951588,V1:(Collision with pedestrian),P2:Pedestrian
10/3/05,5:30 PM,232794.0281,907755.3929,MEDFORD,Non-fatal injury,Non-fatal injury - Non-incapacitating,1951637,V1:(Collision with pedestrian),P2:Pedestrian / P3:Pedestrian
10/4/05,5:33 PM,232224.1484,906411.4492,MEDFORD,Non-fatal injury,Non-fatal injury - Non-incapacitating,1951679,V1:(Collision with pedestrian),P2:Pedestrian
11/2/05,11:43 AM,232830.4201,913359.5222,STONEHAM,Non-fatal injury,Non-fatal injury - Possible,1951692,V1:(Collision with pedestrian),P2:Pedestrian
10/19/05,10:05 AM,231715.8774,902585.5101,CAMBRIDGE,Non-fatal injury,Non-fatal injury - Possible,1951713,V1:(Collision with motor vehicle in traffic),P2:Pedestrian
9/21/05,7:00 AM,232220.9028,908337.0739,MEDFORD,Not Reported,Not reported,1951749,V1:(Collision with pedestrian),P2:Pedestrian
10/12/05,5:01 PM,231678.125,907817.0626,MEDFORD,Property damage only (none injured),No injury,1951807,V1:(Collision with pedestrian),P2:Pedestrian
10/14/05,1:45 PM,233893.3299,902483.5115,CAMBRIDGE,Property damage only (none injured),No injury,1952235,V1:(Collision with motor vehicle in traffic),P2:Pedestrian
10/14/05,4:12 PM,233642.6551,901333.7089,CAMBRIDGE,Non-fatal injury,Non-fatal injury - Incapacitating,1952294,V1:(Collision with pedestrian),P2:Pedestrian
11/4/05,9:30 AM,215666.903,931660.4685,LOWELL,Non-fatal injury,Non-fatal injury - Possible,1952298,V1:(),P24:Pedestrian
10/30/05,6:11 PM,210755.0628,849547.0628,ATTLEBORO,Non-fatal injury,Non-fatal injury - Possible,1952318,V1:(Collision with pedestrian),P2:Pedestrian
10/13/05,6:27 PM,230360.3694,903585.3724,CAMBRIDGE,Non-fatal injury,Non-fatal injury - Possible,1952458,V1:(Collision with pedestrian),P2:Pedestrian
11/8/05,6:17 PM,238326.8126,869682.3749,BROCKTON,Non-fatal injury,Non-fatal injury - Possible,1952624,V1:(Collision with pedestrian),P3:Pedestrian
10/28/05,2:40 PM,111118.9922,878806.0623,CHICOPEE,Non-fatal injury,Non-fatal injury - Possible,1952625,V1:(),P2:Pedestrian
10/4/05,7:23 PM,231766.5972,901346.9293,CAMBRIDGE,Non-fatal injury,Non-fatal injury - Possible,1952677,V1:(Collision with pedestrian),P2:Pedestrian / P3:Pedestrian
10/4/05,12:05 PM,232993.344,901594.4998,CAMBRIDGE,Property damage only (none injured),No injury,1952695,V1:(Collision with pedestrian),P2:Pedestrian
10/2/05,5:05 PM,231279.7342,903091.4373,CAMBRIDGE,Non-fatal injury,Non-fatal injury - Non-incapacitating,1952738,V1:(Collision with pedestrian),P2:Pedestrian
11/7/05,6:23 AM,,,MILLBURY,Non-fatal injury,Non-fatal injury - Possible,1952759,V1:(Collision with pedestrian),P2:Pedestrian
11/4/05,9:03 AM,,,HARWICH,Non-fatal injury,Non-fatal injury - Possible,1952769,V1:(Collision with pedestrian),P2:Pedestrian
11/7/05,11:37 AM,214415.8089,925430.671,CHELMSFORD,Property damage only (none injured),No injury,1952903,V1:(Collision with pedestrian),P2:Pedestrian
11/3/05,12:00 AM,234104.3794,947072.2054,HAVERHILL,Non-fatal injury,Non-fatal injury - Non-incapacitating,1953021,V1:(Collision with pedestrian),P2:Pedestrian
11/1/05,3:20 PM,233476.5488,947792.6747,HAVERHILL,Non-fatal injury,Non-fatal injury - Non-incapacitating,1953060,V1:(Collision with pedestrian) V2:(Collision with motor vehicle in traffic),P5:Pedestrian
10/22/05,12:00 AM,110327.3323,881142.6757,CHICOPEE,Non-fatal injury,Non-fatal injury - Non-incapacitating,1953202,V1:(Collision with pedestrian),P2:Pedestrian
10/28/05,6:47 PM,245006.7154,879947.3748,WEYMOUTH,Not Reported,Not reported,1953244,V1:(Collision with pedestrian),P2:Pedestrian
10/29/05,6:44 PM,246667.2092,885366.4422,WEYMOUTH,Fatal injury,Fatal injury,1953262,V1:(Collision with pedestrian),P2:Pedestrian
9/26/05,6:44 AM,,,PEABODY,Fatal injury,Fatal injury,1953316,V1:(Collision with pedestrian),P2:Pedestrian
4/8/05,8:46 AM,116135.0235,904198.5001,AMHERST,Property damage only (none injured),No injury,1953395,V1:() V2:(),P4:Pedestrian
10/25/05,9:00 PM,233623.6252,901837.4377,CAMBRIDGE,Non-fatal injury,Non-fatal injury - Possible,1953403,V1:(Collision with pedestrian),P2:Pedestrian
8/25/05,4:23 PM,169950.0784,867160.6248,WEBSTER,Non-fatal injury,Non-fatal injury - Non-incapacitating,1953425,V1:(Collision with pedestrian),P2:Pedestrian
10/29/05,3:30 PM,233141.5383,901335.4519,CAMBRIDGE,Property damage only (none injured),No injury,1953594,V1:(),P2:Pedestrian
11/7/05,8:15 AM,164816.7599,871599.1396,CHARLTON,Non-fatal injury,Non-fatal injury - Incapacitating,1953597,V1:(Collision with pedestrian),P2:Pedestrian
10/28/05,6:01 AM,230012.4062,903621.5001,CAMBRIDGE,Property damage only (none injured),No injury,1953662,V1:(Collision with pedestrian),P2:Pedestrian
10/27/05,5:22 PM,233713.4919,901381.14,CAMBRIDGE,Non-fatal injury,Non-fatal injury - Possible,1953667,V1:(Collision with pedestrian),P2:Pedestrian
11/11/05,4:35 PM,227755.9101,896976.1011,BROOKLINE,Non-fatal injury,Non-fatal injury - Non-incapacitating,1953729,V1:(Collision with pedestrian),P2:Pedestrian
10/31/05,1:48 PM,243918.7962,912850.5481,LYNN,Property damage only (none injured),No injury,1953770,V1:(Collision with pedestrian),P4:Pedestrian
10/4/05,6:40 AM,231332.81,905040.0192,SOMERVILLE,Non-fatal injury,Non-fatal injury - Non-incapacitating,1953919,V1:(),P2:Pedestrian
10/11/05,11:20 PM,231169.7034,904982.9373,SOMERVILLE,Property damage only (none injured),No injury,1953986,V1:(Collision with pedestrian),P2:Pedestrian
9/27/05,8:10 AM,240438.5781,906601.4999,REVERE,Non-fatal injury,Non-fatal injury - Possible,1954034,V1:(Collision with pedestrian),P2:Pedestrian / P3:Pedestrian
10/6/05,3:31 PM,223449.8687,881365.4981,NORWOOD,Non-fatal injury,Non-fatal injury - Non-incapacitating,1954152,V1:(Collision with pedestrian),P2:Pedestrian
9/26/05,7:10 PM,296620.9249,826981.1415,BARNSTABLE,Fatal injury,Fatal injury,1954257,V1:(),P2:Pedestrian
11/9/05,6:05 PM,176187.3545,925755.456,FITCHBURG,Property damage only (none injured),No injury,1954786,V1:(Collision with pedestrian),P2:Pedestrian
10/14/05,7:41 PM,224149.7332,899961.4601,NEWTON,Property damage only (none injured),No injury,1954813,V1:(Collision with pedestrian),P2:Pedestrian
10/13/05,4:40 PM,236652.3909,906469.9999,EVERETT,Non-fatal injury,Non-fatal injury - Possible,1954892,V1:(Collision with pedestrian),P2:Pedestrian
11/10/05,7:47 PM,215375.6717,931733.5626,LOWELL,Fatal injury,Fatal injury,1955083,V1:(Collision with pedestrian) V2:(Collision with pedestrian),P4:Pedestrian
10/7/05,9:17 PM,249804.8381,821637.769,FAIRHAVEN,Property damage only (none injured),No injury,1955110,V1:(Collision with pedestrian),P2:Pedestrian
10/3/05,8:18 PM,250607.7967,923633.7498,BEVERLY,Non-fatal injury,Non-fatal injury - Possible,1955138,V1:(Collision with pedestrian),P2:Pedestrian
11/15/05,6:06 PM,220105.0157,852008.0627,ATTLEBORO,Fatal injury,Fatal injury,1955144,V1:(Collision with pedestrian),P2:Pedestrian
10/3/05,4:09 PM,55150.60151,916025.4374,PITTSFIELD,Non-fatal injury,Non-fatal injury - Incapacitating,1955256,V1:(Collision with pedestrian),P2:Pedestrian
10/7/05,7:59 PM,54953.73371,912546.5804,PITTSFIELD,Non-fatal injury,Non-fatal injury - Non-incapacitating,1955335,V1:(Collision with pedestrian),P2:Pedestrian
11/6/05,6:28 PM,235403.1406,916304.7498,WAKEFIELD,Non-fatal injury,Non-fatal injury - Non-incapacitating,1955387,V1:(Collision with pedestrian),P2:Pedestrian / P4:Pedestrian
10/14/05,2:14 PM,,,WAREHAM,Non-fatal injury,Non-fatal injury - Non-incapacitating,1955400,V1:(Collision with pedestrian),P2:Pedestrian
10/14/05,6:35 PM,249948.4687,922346.8751,BEVERLY,Property damage only (none injured),No injury,1955479,V1:(Collision with pedestrian),P2:Pedestrian
10/30/05,11:06 AM,250382.0869,922296.0701,BEVERLY,Non-fatal injury,Non-fatal injury - Possible,1955519,V1:(Collision with pedestrian),P2:Pedestrian
10/27/05,6:54 PM,237186.797,907279.6874,EVERETT,Property damage only (none injured),No injury,1955589,V1:(),P2:Pedestrian
10/25/05,8:00 AM,237454.3436,907709.9374,EVERETT,Non-fatal injury,Non-fatal injury - Non-incapacitating,1955786,V1:(Collision with pedestrian),P2:Pedestrian
10/18/05,4:29 PM,55757.5002,913165.4377,PITTSFIELD,Non-fatal injury,Non-fatal injury - Non-incapacitating,1955795,V1:(Collision with pedestrian),P2:Pedestrian
4/11/05,6:55 AM,171505.6059,888041.9894,WORCESTER,Non-fatal injury,Non-fatal injury - Non-incapacitating,1955867,V1:(Collision with pedestrian),P2:Pedestrian
11/16/05,5:43 AM,235038.2346,897951.5,BOSTON,Non-fatal injury,Non-fatal injury - Incapacitating,1955947,V1:(Collision with pedestrian),P2:Pedestrian
11/14/05,9:24 PM,,,SUNDERLAND,Property damage only (none injured),No injury,1956051,V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic) V3:(Collision with motor vehicle in traffic),P4:Pedestrian
11/17/05,7:22 PM,238847.9192,873250.0856,BROCKTON,Non-fatal injury,Non-fatal injury - Possible,1956139,V1:(Collision with pedestrian),P2:Pedestrian
9/26/05,7:00 PM,224141.9376,900053.1248,NEWTON,Property damage only (none injured),No injury,1956149,V1:(Collision with pedestrian),P3:Pedestrian
10/4/05,3:23 PM,221583.5781,901792.375,WALTHAM,Not Reported,Not Applicable,1956161,V1:(),P2:Pedestrian
